"Word (Full Name)","Overview","Usage","Examples","Quick Memory"
"21.EA (Enterprise Architecture)","EN: A framework that aligns business strategy with IT infrastructure and processes.
JP: ビジネス戦略とITを整合させる設計手法","Used by large organizations to manage complexity and guide technology investments.","TOGAF framework implementation, Government digital transformation planning, Banking system integration after merger","EN: Blueprint for business + IT alignment.
JP: 会社全体の設計図"
"22.ERP (Enterprise Resource Planning)","EN: Integrated software for managing core business processes like finance, HR, and supply chain.
JP: 基幹業務システム","Used to unify data across departments into a single database, eliminating silos.","SAP for multinational corporations, Oracle NetSuite for mid-size firms, Microsoft Dynamics 365","EN: All-in-one business software.
JP: 会社全体の統合システム"
"23.E-R図 (Entity Relationship Diagram)","EN: A diagram showing entities (data tables) and relationships between them.
JP: テーブル間の関係を図示したデータベース設計図","Used by database designers to model data structure before building a database.","Customer-Order-Product relationship model, Library book-lending system design, Hospital patient-record schema","EN: Database relationship picture.
JP: データベースの関係図"
"24.FP法 (Function Point Method)","EN: A method to measure software size based on user-requested functions, not lines of code.
JP: ユーザー機能からソフトウェア規模を測定する手法","Used to estimate project cost, effort, and duration in early development stages.","Calculating development cost for banking app, Comparing productivity across teams, Outsourcing contract pricing","EN: Measure software by its features.
JP: 機能ベースのソフト規模測定"
"25.HTML (HyperText Markup Language)","EN: The standard language for creating web pages using tags to structure content.
JP: ウェブページを作るための標準言語","Used by web developers to structure text, images, links, and forms on websites.","Creating a blog post with headings and paragraphs, Building a product catalog with images, Designing a contact form","EN: Language for building web pages.
JP: ホームページを作る言語"
"26.ICT (Information and Communication Technology)","EN: An umbrella term for all technologies used to handle information and communication.
JP: 情報通信技術","Used in education, business, and government to enable digital communication and data processing.","School tablets and online learning platforms, Video conferencing for remote work, Government digital ID systems","EN: All tech for info + communication.
JP: 情報と通信の技術全般"
"27.IDS (Intrusion Detection System)","EN: A security tool that monitors network traffic and alerts on suspicious activity.
JP: 不正侵入を監視して警告するシステム","Used to detect cyberattacks but does not block them automatically (unlike IPS).","Snort open-source IDS, Alerting on multiple failed logins, Detecting port scanning activity","EN: Alarm system for cyberattacks.
JP: 侵入を検知して警告"
"28.IoT (Internet of Things)","EN: A network of physical devices (not just computers) connected to the internet.
JP: モノのインターネット","Used to collect data, enable remote control, and automate physical objects.","Smart thermostat adjusting temperature remotely, Fitbit tracking health data to phone, Factory sensors predicting machine failure","EN: Internet-connected everyday objects.
JP: モノをネットに繋ぐ"
"29.IPS (Intrusion Prevention System)","EN: A security system that detects AND blocks suspicious network activity in real-time.
JP: 不正侵入を検知して遮断するシステム","Used in corporate networks to actively stop attacks, placed inline with traffic flow.","Blocking known attack signatures, Dropping malicious packets, Preventing SQL injection attempts","EN: Detect + block attacks in real-time.
JP: 侵入を検知して防ぐ"
"30.IP Address (Internet Protocol Address)","EN: A unique numeric label assigned to each device on a network for identification and location.
JP: ネットワーク上の機器を識別する番号","Used to route data between devices on the internet or local networks.","192.168.1.1 for home router, IPv4 like 203.0.113.5, IPv6 like 2001:db8::1","EN: Phone number for devices on a network.
JP: 機器のネットワーク住所"
